symbol,open,high,low,close,volume,change,change_p,timestamp
AAPL.US,259.49,261.82,256.71,259.96,39892853,-1.09,-0.4175,2026-01-15 10:13:38
MSFT.US,466.46,468.2,457.1701,459.38,28032315,-11.29,-2.3987,2026-01-15 10:13:40
GOOGL.US,335.06,336.52,330.48,335.84,28438391,-0.13,-0.0387,2026-01-15 10:13:43
AAPL.US,259.49,261.82,256.71,259.96,39892853,-1.09,-0.4175,2026-01-15 10:14:46
MSFT.US,466.46,468.2,457.1701,459.38,28032315,-11.29,-2.3987,2026-01-15 10:14:49
GOOGL.US,335.06,336.52,330.48,335.84,28438391,-0.13,-0.0387,2026-01-15 10:14:51
AAPL.US,259.49,261.82,256.71,259.96,39892853,-1.09,-0.4175,2026-01-15 10:15:53
MSFT.US,466.46,468.2,457.1701,459.38,28032315,-11.29,-2.3987,2026-01-15 10:15:55
GOOGL.US,335.06,336.52,330.48,335.84,28438391,-0.13,-0.0387,2026-01-15 10:15:57
AAPL.US,259.49,261.82,256.71,259.96,39892853,-1.09,-0.4175,2026-01-15 12:03:32
MSFT.US,466.46,468.2,457.1701,459.38,28032315,-11.29,-2.3987,2026-01-15 12:03:36
GOOGL.US,335.06,336.52,330.48,335.84,28438391,-0.13,-0.0387,2026-01-15 12:03:38
AAPL.US,259.49,261.82,256.71,259.96,39892853,-1.09,-0.4175,2026-01-15 12:04:41
MSFT.US,466.46,468.2,457.1701,459.38,28032315,-11.29,-2.3987,2026-01-15 12:04:45
GOOGL.US,335.06,336.52,330.48,335.84,28438391,-0.13,-0.0387,2026-01-15 12:04:48
AAPL.US,259.49,261.82,256.71,259.96,39892853,-1.09,-0.4175,2026-01-15 12:05:52
MSFT.US,466.46,468.2,457.1701,459.38,28032315,-11.29,-2.3987,2026-01-15 12:05:55
GOOGL.US,335.06,336.52,330.48,335.84,28438391,-0.13,-0.0387,2026-01-15 12:05:58
AAPL.US,259.49,261.82,256.71,259.96,39892853,-1.09,-0.4175,2026-01-15 12:07:00
MSFT.US,466.46,468.2,457.1701,459.38,28032315,-11.29,-2.3987,2026-01-15 12:07:03
GOOGL.US,335.06,336.52,330.48,335.84,28438391,-0.13,-0.0387,2026-01-15 12:07:06
AAPL.US,259.49,261.82,256.71,259.96,39892853,-1.09,-0.4175,2026-01-15 12:08:10
MSFT.US,466.46,468.2,457.1701,459.38,28032315,-11.29,-2.3987,2026-01-15 12:08:13
GOOGL.US,335.06,336.52,330.48,335.84,28438391,-0.13,-0.0387,2026-01-15 12:08:16
AAPL.US,259.49,261.82,256.71,259.96,39892853,-1.09,-0.4175,2026-01-15 12:09:20
MSFT.US,466.46,468.2,457.1701,459.38,28032315,-11.29,-2.3987,2026-01-15 12:09:23
GOOGL.US,335.06,336.52,330.48,335.84,28438391,-0.13,-0.0387,2026-01-15 12:09:26
AAPL.US,259.49,261.82,256.71,259.96,39892853,-1.09,-0.4175,2026-01-15 12:12:12
MSFT.US,466.46,468.2,457.1701,459.38,28032315,-11.29,-2.3987,2026-01-15 12:12:15
GOOGL.US,335.06,336.52,330.48,335.84,28438391,-0.13,-0.0387,2026-01-15 12:12:18
AAPL.US,259.49,261.82,256.71,259.96,39892853,-1.09,-0.4175,2026-01-15 12:13:20
MSFT.US,466.46,468.2,457.1701,459.38,28032315,-11.29,-2.3987,2026-01-15 12:13:23
GOOGL.US,335.06,336.52,330.48,335.84,28438391,-0.13,-0.0387,2026-01-15 12:13:26
AAPL.US,259.49,261.82,256.71,259.96,39892853,-1.09,-0.4175,2026-01-15 12:14:29
MSFT.US,466.46,468.2,457.1701,459.38,28032315,-11.29,-2.3987,2026-01-15 12:14:32
GOOGL.US,335.06,336.52,330.48,335.84,28438391,-0.13,-0.0387,2026-01-15 12:14:34
AAPL.US,259.49,261.82,256.71,259.96,39892853,-1.09,-0.4175,2026-01-15 12:15:37
MSFT.US,466.46,468.2,457.1701,459.38,28032315,-11.29,-2.3987,2026-01-15 12:15:39
GOOGL.US,335.06,336.52,330.48,335.84,28438391,-0.13,-0.0387,2026-01-15 12:15:43
AAPL.US,259.49,261.82,256.71,259.96,39892853,-1.09,-0.4175,2026-01-15 12:16:46
MSFT.US,466.46,468.2,457.1701,459.38,28032315,-11.29,-2.3987,2026-01-15 12:16:48
GOOGL.US,335.06,336.52,330.48,335.84,28438391,-0.13,-0.0387,2026-01-15 12:16:52
AAPL.US,260.65,261.04,259.62,260.46,7218300,0.5,0.1923,2026-01-15 21:19:55
MSFT.US,464.12,464.25,457.89,460.02,6572871,0.64,0.1393,2026-01-15 21:19:57
GOOGL.US,337.65,337.69,332.14,333.02,7568263,-2.82,-0.8397,2026-01-15 21:19:58
AAPL.US,260.65,261.04,259.62,260.6009,7296759,0.6409,0.2465,2026-01-15 21:21:00
MSFT.US,464.12,464.25,457.89,460.11,6615718,0.73,0.1589,2026-01-15 21:21:03
GOOGL.US,337.65,337.69,332.14,333.24,7609633,-2.6,-0.7742,2026-01-15 21:21:05
AAPL.US,260.65,261.04,259.62,260.535,7373660,0.575,0.2212,2026-01-15 21:22:07
MSFT.US,464.12,464.25,457.89,459.96,6666681,0.58,0.1263,2026-01-15 21:22:09
GOOGL.US,337.65,337.69,332.14,333.46,7677601,-2.38,-0.7087,2026-01-15 21:22:11
AAPL.US,260.65,261.04,259.62,260.26,7407521,0.3,0.1154,2026-01-15 21:23:13
MSFT.US,464.12,464.25,457.89,459.95,6680871,0.57,0.1241,2026-01-15 21:23:15
GOOGL.US,337.65,337.69,332.14,333.287,7719651,-2.553,-0.7602,2026-01-15 21:23:17
AAPL.US,260.65,261.04,259.62,260.23,7545769,0.27,0.1039,2026-01-15 21:24:19
MSFT.US,464.12,464.25,457.89,460.415,6730724,1.035,0.2253,2026-01-15 21:24:21
GOOGL.US,337.65,337.69,332.14,333.21,7808896,-2.63,-0.7831,2026-01-15 21:24:23
